"","task_id","PC1","TaskWeight01"
"1",1,0.568981082085189,0.701639950663659
"2",2,-0.0264397489427015,0.603548464388069
"3",3,1.4496631397119,0.846726261835737
"4",4,0.154306540663306,0.633325172326964
"5",5,0.135916186983991,0.630295488057397
"6",6,0.244519854147734,0.648187195186085
"7",7,-1.20407912587039,0.409540477499068
"8",8,-0.550938194919269,0.517140953206
"9",9,-0.260155540813387,0.56504539530482
"10",10,-0.596267308873362,0.509673293480967
"11",11,-0.327337957076326,0.553977554343595
"12",12,-2.27607803387875,0.232936031210514
"13",13,-0.735510821365054,0.486733882592428
"14",14,0.261158500512121,0.650928297724736
"15",15,0.131060307647886,0.629495515338217
"16",16,-2.6095100752795,0.178005395921115
"17",17,-1.81080528787762,0.309586515708997
"18",19,-0.333454343896651,0.552969921686863
"19",20,-0.134107593911121,0.585810927528953
"20",21,-0.385099063529935,0.544461809368439
"21",22,-0.112262835240076,0.589409701259586
"22",23,-0.540593126074132,0.518845232139088
"23",24,-0.719243724750628,0.4894137748655
"24",26,-2.29178914501152,0.230347733721168
"25",30,-1.47799564623975,0.364414614918673
"26",32,1.09221758490175,0.787839565390466
"27",33,-0.0488696619542326,0.599853290504859
"28",34,0.889675293759098,0.754472116123452
"29",35,0.871437540919738,0.751467571792593
"30",36,-0.0314732229218254,0.602719234173047
"31",37,-0.203946752869251,0.574305406483253
"32",38,0.556644820644587,0.699607636447
"33",39,0.536860177096812,0.696348252512307
"34",40,0.407940785606523,0.675109669543693
"35",41,-0.505327141872035,0.524655060457294
"36",43,-0.312107284071178,0.556486702956138
"37",44,-0.400158749461449,0.541980829700133
"38",45,-2.28296333037457,0.231801725973734
"39",46,1.30497838188541,0.822890443206208
"40",47,0.0259258381369147,0.612175334659748
"41",48,-0.327180802890424,0.554003444414728
"42",49,0.65656052466102,0.716068061407821
"43",50,-0.420560293842946,0.538619815596472
"44",51,-0.153858915132481,0.582557033218328
"45",52,0.769635834943013,0.734696440981788
"46",53,-0.0346787192292791,0.602191150705583
"47",54,-0.559164970762204,0.515785648474225
"48",55,-0.0108426800486387,0.606117974203035
"49",56,0.0924151690453356,0.623128994576244
"50",57,0.00399448895580742,0.608562295738201
"51",58,0.369189483634387,0.668725659096831
"52",59,-0.630756271631206,0.503991474100916
"53",60,-1.52279423541278,0.357034355502075
"54",61,-0.527199037114774,0.521051816163135
"55",62,-0.680665198697402,0.495769321668171
"56",63,-1.08679069378601,0.428862939909778
"57",66,0.442710268770703,0.680837702731112
"58",68,0.288106839480187,0.655367851204034
"59",72,-0.901085077208743,0.459456662854173
"60",76,-1.39634219840361,0.377866458791764
"61",77,-1.0997227571611,0.42673247142267
"62",78,-1.3784109012675,0.380820516653485
"63",79,-1.20982254472458,0.408594288749275
"64",80,0.70197805343653,0.723550286866516
"65",81,-0.11393086906948,0.589134904159858
